income,age,loan_amount,tenure_months,late_payments,risk_label
899342.8306022466,49.26177547531641,439935.5436586002,159,1,0
772347.1397657631,59.094166404701305,392463.36829127686,188,6,1
929537.7076201385,26.01432426180859,305963.0369920174,60,2,0
1104605.971281605,45.62969236690571,235306.3222294426,147,2,0
753169.3250553329,33.49357430878173,369822.331361359,49,0,0
753172.6086101639,35.12874616235304,339348.53854217497,63,0,0
1115842.5631014784,34.07606075761131,389519.32200277323,110,1,0
953486.9458305817,31.36009230320184,363517.18016819697,211,1,0
706105.1228130095,40.48521627944827,404955.2715319335,150,1,0
908512.0087171929,31.69049883588962,246476.47884394322,152,1,0
707316.4614375075,42.704568257798385,431739.40656343254,109,1,0
706854.0492859486,39.49761890550863,319759.96046924,76,3,0
848392.4543132068,37.6105195313359,507526.08726252656,30,4,1
417343.9510684404,30.924363379584022,231081.2181910432,58,1,0
455016.43349739345,34.23228669431667,473596.38031652494,230,3,0
687542.4941518054,47.55391225825756,319791.0783462648,117,0,0
597433.7759331153,45.009171876243805,234858.19963855518,159,2,0
862849.4665190547,30.22444755201449,251611.41659456785,100,0,0
618395.1848957578,40.99332305429226,267965.269180568,192,1,0
517539.2597329417,47.51387123371789,342416.59464019164,19,1,0
1093129.7537843108,23.305947188786284,352283.54880354996,176,1,0
754844.7399026928,45.43360192379935,242629.9996061421,173,2,0
813505.6409375848,33.37376241054153,297564.54077390174,228,1,0
515050.36275730864,45.70598668593159,514227.03586118633,94,0,0
691123.4550949634,32.367408434574834,472754.3170100711,183,3,0
822184.5179419732,21.95117899335481,343632.3669674032,113,1,0
569801.2845155394,23.724575621168373,303800.34781682,183,1,0
875139.6036691344,40.48084946661382,312003.1326718261,225,2,0
679872.262016239,42.59722501721482,361351.7972730417,146,2,0
741661.2500413447,30.956833748955916,197720.74348015944,63,2,0
679658.6775541207,46.38592458777374,274262.3462576655,116,0,0
1170455.6369017875,23.3847993773104,133141.59261224105,113,2,0
797300.5550524133,39.33920201352684,339922.3122605279,220,1,0
588457.81420882,27.889838002375434,364719.5939702741,47,2,0
964508.9824206377,33.48163892197841,251681.3537700626,203,1,0
555831.2700057955,40.47398671316414,457398.6763290033,57,3,0
841772.719000951,31.395866347160478,177423.43369976588,118,2,0
408065.9752240449,36.154444557701744,153562.511979018,45,1,0
534362.7902203139,50.0629280921444,322445.1818559972,161,0,0
839372.2471738247,34.23108130476851,404709.83026121545,145,1,0
947693.315999082,48.35692112065142,468392.7691457869,198,2,0
834273.6562379941,28.70293145342382,254111.573713106,4,3,0
776870.3435223519,45.298041779152825,407868.08334312955,148,0,0
739779.2608821422,54.415686206579004,296149.1530499293,47,1,0
504295.60192651453,18.0,282737.27000591805,219,2,0
656031.1583210583,32.03104744529523,388365.99374866724,143,3,0
707872.2458080425,45.7707212718054,365232.287841342,198,1,0
1011424.4452437832,37.96954613957007,142360.78430157507,47,1,0
868723.6579136923,43.71145873371309,447654.0349725896,78,3,0
447391.9689274532,33.960148132841795,438009.1354147452,124,2,0
864816.793878959,40.865897874729,237443.72984904706,75,2,0
722983.5439167367,38.44322764607921,339580.3533437409,103,2,0
664615.5999388082,51.67782061659807,349403.01862827386,137,3,0
922335.2577681736,42.54420843301213,326067.3765823907,90,2,0
1006199.9044991902,43.37602662075202,244969.484615458,144,3,0
986256.0238232397,35.881230338775325,232837.66320619485,69,1,0
632156.4953554723,35.123937759275066,297444.59290085547,61,0,0
738157.524829757,35.67441812180379,417272.90192593646,138,0,0
